This file was created by CMPT_ME_BEME_RETS_DAILY using the 201911 CRSP database.,,,,,,,,,,,,,,,,,,,,,,,
The Tbill return is the simple daily rate that, over the number of trading days,,,,,,,,,,,,,,,,,,,,,,
in the month, compounds to 1-month TBill rate from Ibbotson and Associates Inc.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Mkt-RF,SMB,HML,RF,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
19260720,-0.57,-0.23,0.16,0.009,-0.79,-0.57,-0.44,-0.6,-0.43,-0.63,-0.25,-0.69,-0.9,-0.54,-0.28,-0.88,-0.46,-0.19,-0.33,-0.84,-0.26,-1.04,-0.52
19260721,-0.6,0.21,0.31,0.009,0,-0.65,-0.62,-0.24,-0.63,-0.58,-0.77,-0.48,-0.02,-0.71,-0.52,-0.69,-0.5,-1.12,-0.35,-0.48,-0.49,0.06,-0.23
19260722,-0.73,-0.3,-0.17,0.009,-1.62,-0.97,-0.57,-1.13,-1.19,-0.32,-0.59,-1.07,-1.23,-1.08,-1.36,-0.44,-0.24,-0.72,-0.44,-1.1,-1.01,-1.19,-1.34
19260723,-0.02,0.08,0.06,0.009,-4.86,0,-0.02,0.11,0.04,-0.08,0.06,-0.07,0.14,0.01,0.06,-0.1,-0.06,0.23,-0.14,-0.12,0.07,0.24,-0.12
19260724,-0.14,0.44,-0.06,0.009,0,-0.22,-0.09,0.07,-0.26,-0.18,-0.04,0.02,0.06,-0.59,0.2,-0.14,-0.2,-0.2,0.15,0,0.09,-0.13,0.54
19260726,0.53,-0.38,-0.25,0.009,-1.65,0.77,0.45,0.27,0.58,0.79,0.31,0.62,0.17,0.63,0.5,1.24,0.49,0.22,0.41,0.7,0.39,0.35,-0.31
19260727,0.43,-0.45,0.26,0.009,0.61,0.56,0.41,0.64,0.49,0.53,0.38,0.52,0.7,0.52,0.45,0.73,0.39,0.62,0.09,0.5,0.57,0.9,0.18
19260728,1.09,0.04,-0.28,0.009,-0.17,1.47,0.82,0.75,1.2,1.38,0.57,1.09,0.89,1.24,1.14,2.11,0.91,0.71,0.41,1.26,0.6,0.83,1.04
19260729,0.36,-0.61,-1.01,0.009,0,0.88,0.17,-0.45,0.07,1.15,0.09,0.27,-0.38,0.25,-0.18,2.77,0.07,0.06,0.12,0.55,-0.53,-0.43,-0.25
19260730,0.14,-0.47,0.55,0.009,0.86,0.02,0.34,0.62,0.3,-0.27,0.53,0.65,0.35,0.62,-0.14,-0.62,-0.03,0.75,0.26,0.56,0.92,0.31,0.47
19260731,0.46,-0.12,-0.17,0.009,-1.71,0.6,0.36,0.58,0.53,0.29,0.6,0.47,0.71,0.51,0.56,0.75,-0.03,0.3,0.98,0.49,0.42,0.61,0.97
19260802,0.84,-0.22,-0.03,0.01,1.79,1.17,0.8,0.24,0.5,1.65,0.76,0.4,0.66,0.39,0.67,2.67,0.95,1.05,0.41,0.62,-0.23,0.77,0.35
19260803,0.47,-0.27,-0.6,0.01,-2.61,0.98,0.16,0.53,0.21,0.99,-0.07,1.17,0.4,0.4,-0.04,2.7,-0.2,-0.04,-0.12,1.34,0.68,0.66,-0.29
19260804,-0.36,0.16,0.25,0.01,-5.21,-0.61,-0.19,-0.07,-0.3,-0.61,-0.08,-0.5,0.04,-0.25,-0.37,-1.3,-0.11,0.1,-0.3,-0.6,-0.2,0.1,-0.11
19260805,-0.09,0.01,0.73,0.01,3.01,-0.28,0.02,0.55,-0.25,-0.13,0.07,0.13,0.3,-0.28,-0.2,-0.35,0.03,0.09,0.04,-0.11,0.85,0.39,0.04
19260806,0.68,0.08,0.16,0.01,2.69,0.72,0.57,0.9,0.59,0.59,0.53,1.13,0.66,0.54,0.66,1,0.31,0.28,0.85,1.11,1.16,0.66,0.68
19260807,0.46,0.08,-0.24,0.01,1.27,0.94,0.2,0.53,0.37,0.99,0.19,0.22,1.04,0.48,0.22,2.19,0.15,0.05,0.35,0.31,-0.05,0.95,1.27
19260809,0.21,-0.04,-0.26,0.01,-2.23,0.57,-0.04,0.03,0.37,0.39,-0.35,0.55,-0.01,0.48,0.2,1.02,-0.07,-0.8,0.2,0.7,0.08,-0.13,0.32
19260810,-1.4,0.34,0.21,0.01,-0.77,-1.96,-0.97,-1.36,-1.15,-1.86,-0.93,-1.72,-1.49,-1.3,-0.94,-3.71,-0.52,-0.99,-0.85,-1.88,-1.22,-1.57,-1.28
19260811,-0.57,0.21,0.34,0.01,-4.41,-0.69,-0.46,-0.55,-0.56,-0.56,-0.51,-0.6,-0.72,-0.64,-0.46,-0.97,-0.27,-0.41,-0.63,-0.69,-0.36,-0.92,-0.19
19260812,0.84,-0.77,0.42,0.01,4.65,0.96,0.77,1.26,1.13,0.45,0.77,1.41,1.41,1.47,0.66,0.58,0.36,0.68,0.88,1.52,1.1,1.35,1.56
19260813,0.58,-0.85,0.25,0.01,0.92,0.69,0.62,0.52,0.51,0.55,0.74,0.93,0.67,0.52,0.49,1.09,0.17,1.01,0.41,1.13,0.34,0.61,0.84
19260814,0.69,0.15,-0.36,0.01,-4.4,1.04,0.44,0.4,0.8,0.89,0.3,0.66,0.54,0.9,0.68,1.54,0.42,0.36,0.24,0.8,0.24,0.61,0.35
19260816,0.07,0.23,0.7,0.01,2.8,-0.2,0.18,0.75,-0.25,0.18,-0.12,0.55,0.9,-0.54,0.17,-0.09,0.37,-0.39,0.2,0.54,0.59,1.15,0.23
19260817,-0.95,0.34,0.16,0.01,-0.07,-1.33,-0.7,-0.88,-1.13,-0.96,-0.79,-1.07,-0.67,-1.06,-1.23,-1.76,-0.39,-0.92,-0.62,-1.05,-1.14,-0.65,-0.71
19260818,0.26,0.08,0.04,0.01,-1.84,0.38,0.14,0.68,0.35,0.26,0.19,0.2,0.65,0.15,0.63,0.45,0.13,0.11,0.29,0.03,0.72,1,-0.27
19260819,-0.6,0.12,0.1,0.01,-1.47,-0.72,-0.52,-0.51,-0.6,-0.53,-0.3,-1.27,-0.63,-0.67,-0.5,-0.99,-0.2,-0.34,-0.26,-1.58,-0.36,-0.84,-0.05
19260820,-0.2,-0.36,0.42,0.01,-0.93,-0.25,-0.16,-0.15,-0.27,-0.1,-0.14,-0.4,-0.06,-0.48,0.01,-0.21,-0.02,0,-0.31,-0.46,-0.25,0.19,-0.71
19260821,0.32,-0.06,0.49,0.01,2.05,0.38,0.24,0.73,0.37,0.29,0.12,0.6,0.74,0.39,0.34,0.41,0.21,0.11,0.13,0.55,0.72,0.85,0.44
19260823,0.49,-0.48,0.62,0.01,2.39,0.79,0.18,1.18,0.28,0.74,0.29,0.59,1.21,0.36,0.17,1.91,-0.08,0.23,0.35,0.41,1.14,1.31,0.95
19260824,-0.84,0.5,-0.09,0.01,-3.41,-1.09,-0.65,-1.24,-0.89,-0.83,-0.59,-1.29,-1.2,-0.87,-0.91,-1.52,-0.34,-0.59,-0.6,-1.3,-1.29,-1.35,-0.79
19260825,-0.32,-0.43,0.28,0.01,1.73,-0.31,-0.36,0.09,-0.32,-0.29,-0.21,-0.54,-0.05,-0.49,-0.1,-0.29,-0.29,-0.22,-0.2,-0.81,0.25,0.08,-0.4
19260826,0.53,0.09,0.5,0.01,0.36,0.55,0.42,1.19,0.35,0.54,0.5,0.74,1.15,0.52,0.12,1,0.22,0.59,0.4,0.57,1.23,1.44,0.37
19260827,0.35,0.13,-0.39,0.01,-2.17,0.2,0.39,0.1,0.15,0.37,0.26,0.59,-0.14,-0.13,0.55,0.31,0.42,0.23,0.28,0.66,0.39,-0.15,-0.13
19260828,0.34,0.15,-0.06,0.01,1.86,0.37,0.22,0.24,0.4,0.23,0.11,0.42,0.35,0.17,0.71,0.31,0.18,0.16,0.06,0.52,0.12,0.4,0.21
19260830,0.3,0,0.42,0.01,-1.79,-0.12,0.66,0.27,-0.03,0.21,0.8,0.31,0.61,-0.01,-0.05,-0.33,0.59,1,0.56,0.45,-0.12,0.66,0.47
19260831,0.58,-0.52,-0.04,0.01,-3.52,0.54,0.68,0.55,0.4,0.54,0.5,1.39,0.61,0.16,0.73,0.84,0.33,0.21,0.85,1.69,0.49,0.56,0.74
19260901,0.55,0.52,-0.08,0.009,-19.24,0.6,0.44,0.77,0.69,0.41,0.54,0.42,0.68,0.97,0.29,0.41,0.41,0.56,0.51,0.27,0.87,0.3,1.75
19260902,-0.06,-0.07,0.21,0.009,19.37,-0.2,0.11,-0.24,-0.04,-0.09,0.21,-0.23,-0.42,0.02,-0.12,-0.54,0.22,-0.11,0.6,-0.3,-0.04,-0.67,0.25
19260903,0.5,-0.3,0.03,0.009,7.48,0.36,0.56,0.64,0.37,0.4,0.71,0.55,0.41,0.29,0.48,0.36,0.44,0.38,1.09,0.42,0.92,0.35,0.58
19260907,0.59,-0.25,-0.24,0.009,-0.18,0.94,0.28,0.33,0.63,0.98,0.07,0.26,0.54,0.97,0.16,1.61,0.53,0.22,-0.11,0.31,0.09,0.75,-0.01
19260908,-0.51,-0.1,0.08,0.009,-6.51,-0.54,-0.44,-0.88,-0.49,-0.4,-0.42,-0.88,-0.83,-0.43,-0.58,-0.65,-0.23,-0.48,-0.35,-0.85,-0.94,-1,-0.37
19260909,-0.07,0.16,0.26,0.009,-2.6,-0.02,-0.11,0.22,0,-0.09,-0.15,0.12,-0.04,0.17,-0.25,-0.07,-0.11,-0.04,-0.27,-0.02,0.53,0.08,-0.37
19260910,-0.83,0.09,-0.13,0.009,5.24,-0.82,-0.78,-0.87,-0.97,-0.48,-0.88,-1.05,-0.8,-0.91,-1.07,-0.49,-0.48,-0.74,-1.05,-1.08,-0.95,-0.81,-0.78
19260911,-0.44,0.32,0.13,0.009,-2.19,-0.56,-0.35,-0.41,-0.38,-0.58,-0.24,-0.55,-0.54,-0.41,-0.34,-0.96,-0.31,-0.21,-0.28,-0.66,-0.25,-0.47,-0.75
19260913,-0.03,-0.11,0.5,0.009,-0.86,-0.06,0.05,0.01,-0.15,0.13,-0.12,0.26,-0.17,0.02,-0.38,0.12,0.13,-0.16,-0.07,0.27,0.21,-0.18,-0.13
19260914,0.9,-0.62,0.09,0.009,-3,1.33,0.6,1.05,0.85,1.17,0.68,0.94,1.12,0.85,0.85,2.38,0.31,0.53,0.84,0.92,0.98,1.07,1.23
19260915,-0.21,0.4,-0.19,0.009,0,-0.18,-0.16,-0.31,-0.27,0,-0.21,-0.44,0.05,-0.41,-0.06,0,0,-0.08,-0.37,-0.34,-0.73,0.2,-0.35
19260916,-0.18,-0.33,0.1,0.009,-1.7,-0.12,-0.27,-0.44,-0.75,0.41,-0.31,-0.41,-0.42,-0.61,-0.94,1.2,-0.16,-0.36,-0.26,-0.39,-0.45,-0.44,-0.38
19260917,-1.01,-0.16,-0.28,0.009,2.94,-1.02,-0.89,-1.45,-1.14,-0.71,-0.9,-1.23,-1.67,-1.21,-1.05,-0.76,-0.67,-1.03,-0.75,-1.24,-1.2,-1.63,-1.77
19260918,0.7,-0.28,-0.11,0.009,0,0.77,0.56,0.96,0.63,0.56,0.69,0.85,1.14,0.58,0.69,1.06,0.21,0.53,0.87,0.89,0.74,1.02,1.47
19260920,-0.64,0.03,-0.01,0.009,-5.18,-0.66,-0.61,-0.88,-1.13,-0.11,-0.74,-0.71,-0.88,-1.4,-0.75,0.31,-0.41,-0.88,-0.57,-0.66,-0.88,-0.41,-2.13
19260921,0.3,-0.42,0.19,0.009,3.04,0.36,0.32,0.48,0.35,0.16,0.28,0.91,0.23,0.49,0.15,0.38,0,0.29,0.26,0.96,0.76,-0.01,0.9
19260922,-0.13,0.05,-0.01,0.009,-1.95,-0.21,-0.02,-0.36,-0.34,0.09,-0.01,-0.33,-0.2,-0.49,-0.12,0.06,0.11,0.03,-0.07,-0.26,-0.55,-0.24,-0.1
19260923,0.26,-0.16,0.06,0.009,-0.79,0.17,0.28,0.09,0.32,0.28,0.12,0.17,-0.15,0.37,0.25,-0.13,0.58,0.28,-0.06,0.11,0.36,-0.3,0.27
19260924,0.62,-0.19,-0.03,0.009,-4.29,0.8,0.54,0.76,0.93,0.37,0.45,1.13,0.8,0.98,0.86,0.53,0.25,0.48,0.41,1.27,0.71,0.87,0.63
19260925,0.21,0.02,-0.56,0.009,1.14,0.29,0.17,-0.12,0.25,0.4,0.01,0.08,-0.34,0.54,-0.15,0.36,0.43,0,0.03,0.05,0.14,-0.08,-1.05
19260927,-0.12,0.14,0.39,0.009,2.2,-0.06,-0.16,0.27,-0.33,0.11,-0.08,-0.22,0.47,-0.43,-0.2,0.5,-0.18,-0.02,-0.16,-0.3,0.03,0.27,1.03
19260928,0,-0.02,-0.35,0.009,0.14,0.06,0.01,-0.24,-0.19,0.18,0.15,-0.14,-0.21,-0.19,-0.2,0.57,-0.11,0.06,0.25,-0.1,-0.27,-0.23,-0.15
19260929,-0.3,0.22,-0.19,0.009,-3.46,-0.31,-0.27,-0.25,-0.2,-0.34,-0.41,-0.03,-0.61,-0.24,-0.15,-0.54,-0.19,-0.24,-0.61,-0.11,0.17,-0.68,-0.4
19260930,0.3,-0.22,0.06,0.009,-1.05,0.47,0.26,0.2,0.45,0.21,0.32,0.44,0.4,0.53,0.33,0.52,-0.03,0.14,0.54,0.6,-0.03,0.11,1.18
19261001,0.73,-0.27,-0.23,0.013,-3.56,1.18,0.45,0.69,0.43,1.24,0.52,0.77,0.68,0.52,0.32,2.67,0.16,0.65,0.37,0.79,0.71,0.71,0.59
19261002,-0.1,-0.02,-0.08,0.013,3.62,-0.11,-0.03,-0.25,-0.22,0.07,-0.04,-0.12,-0.37,-0.17,-0.29,0.11,0.04,-0.12,0.06,-0.12,-0.12,-0.26,-0.67
19261004,-1.4,-0.1,-0.1,0.013,-3.45,-1.53,-1.29,-1.7,-1.28,-1.5,-1.06,-1.97,-1.84,-1.42,-1.07,-2.02,-1.11,-1.14,-0.95,-2.12,-1.54,-2.1,-1.16
19261005,-1.1,0.44,-0.72,0.013,-6.32,-0.98,-1.13,-1.56,-0.94,-0.86,-1.31,-1.61,-1.22,-0.92,-0.98,-1.07,-0.7,-1.27,-1.36,-1.5,-1.94,-1.33,-0.95
19261006,-0.56,-0.69,-0.28,0.013,0,-0.59,-0.32,-1.08,-0.47,-0.64,-0.2,-0.38,-1.46,-0.62,-0.25,-0.82,-0.49,0.08,-0.52,-0.29,-0.64,-1.86,-0.43
19261007,-0.77,0.32,0.3,0.013,1.25,-0.99,-0.59,-0.59,-0.44,-1.05,-0.71,-0.78,-0.69,-0.78,0.03,-2.07,-0.27,-0.66,-0.77,-0.88,-0.48,-0.59,-0.96
19261008,0.59,-0.36,0.58,0.013,3.81,0.76,0.37,0.97,0.85,0.31,0.56,0.5,1.15,0.76,0.97,0.59,0.1,0.48,0.65,0.41,0.78,0.99,1.55
19261009,-0.96,0.44,-0.05,0.013,-0.09,-1.09,-0.77,-0.92,-0.84,-0.89,-0.86,-1.19,-1,-1.2,-0.34,-1.61,-0.34,-0.63,-1.14,-1.32,-0.82,-1.03,-0.93
19261011,-0.69,-0.08,-0.16,0.013,-3.27,-0.81,-0.52,-0.92,-0.58,-0.83,-0.32,-1,-0.91,-0.57,-0.59,-1.28,-0.49,-0.33,-0.31,-1.02,-0.93,-0.74,-1.35
19261013,0.69,-0.31,-0.04,0.013,-0.64,0.79,0.64,1.07,0.45,0.84,0.57,1.35,0.78,0.59,0.25,1.51,0.34,0.28,0.91,1.33,1.4,0.84,0.63
19261014,0.97,-0.47,1.08,0.013,-1.24,0.94,0.88,1.61,0.81,1.19,0.7,0.94,1.7,0.97,0.6,1.19,1.18,0.65,0.76,0.73,1.52,1.48,2.26
19261015,-1.83,0.13,-0.29,0.013,-3.78,-2.17,-1.5,-2.41,-2.07,-1.67,-1.48,-2.31,-2.24,-2.52,-1.46,-2.38,-1.14,-1.45,-1.51,-2.2,-2.62,-2.23,-2.24
19261016,-0.73,-0.34,0.42,0.013,2.96,-0.98,-0.52,-0.58,-0.81,-0.81,-0.45,-0.75,-0.7,-0.99,-0.56,-1.33,-0.42,-0.22,-0.73,-0.86,-0.43,-0.74,-0.61
19261018,0.7,-0.16,0.46,0.013,-1.88,0.88,0.58,0.73,0.67,0.74,0.59,0.92,0.72,0.87,0.42,1.29,0.35,0.56,0.63,0.98,0.74,0.72,0.71
19261019,-1.06,0.4,-0.54,0.013,-0.17,-1.42,-0.71,-1.42,-0.95,-1.25,-0.77,-1.1,-1.62,-1.1,-0.75,-2.37,-0.44,-0.82,-0.72,-1.06,-1.2,-1.53,-1.85
19261020,-0.25,-0.59,-1.17,0.013,-1.13,0.2,-0.32,-1.17,0.47,-0.39,-0.34,-0.37,-1.14,0.63,0.26,-0.37,-0.41,-0.36,-0.32,-0.08,-1.2,-1.3,-0.72
19261021,1.53,-0.12,0.55,0.013,1.31,1.63,1.44,2.08,1.36,1.65,1.36,1.92,2.43,1.94,0.57,2.2,1.25,1.21,1.52,2,1.69,2.28,2.83
19261022,-0.4,0.44,0.2,0.013,3.88,-0.7,-0.24,-0.3,-0.73,-0.3,-0.36,-0.23,-0.53,-0.85,-0.56,-0.63,-0.05,-0.57,-0.11,-0.3,-0.04,-0.76,0.07
19261023,0.54,0.5,0.19,0.013,2.49,0.67,0.37,0.83,0.59,0.53,0.31,0.59,1.02,0.5,0.72,0.82,0.32,0.51,0.06,0.58,0.6,0.97,1.15
19261025,-0.1,0.35,-0.03,0.013,1.22,-0.16,-0.03,0.13,-0.05,-0.03,-0.01,-0.37,0.14,0.01,-0.14,-0.37,0.22,-0.09,0.09,-0.53,0.12,0,0.51
19261026,0.32,0.02,0.3,0.013,1.2,0.33,0.35,0.51,0.33,0.19,0.47,0.54,0.43,-0.05,0.86,0.31,0.1,0.32,0.64,0.52,0.59,0.46,0.38
19261027,1,-0.47,0.19,0.013,1.19,1.22,0.76,1.43,1.08,0.9,0.83,1.34,1.12,1.3,0.78,1.52,0.45,0.68,1.01,1.19,1.78,1.23,0.85
19261028,-0.08,0.69,0.2,0.013,-1.17,-0.19,-0.03,-0.03,-0.23,0.08,-0.13,-0.15,-0.21,-0.26,-0.17,-0.12,0.23,-0.04,-0.23,-0.27,0.18,-0.27,-0.08
19261029,-0.06,0.01,-0.33,0.013,-2.37,-0.02,-0.04,-0.38,0.04,-0.11,0.08,-0.38,-0.02,-0.11,0.26,-0.15,-0.08,0.11,0.05,-0.23,-0.79,-0.24,0.53
19261030,-0.25,0.2,0.25,0.013,1.22,-0.45,-0.2,-0.25,-0.4,-0.34,-0.12,-0.32,-0.4,-0.35,-0.47,-0.56,-0.18,-0.1,-0.15,-0.4,-0.07,-0.12,-1.11
19261101,0.46,-0.11,-0.43,0.013,-3.6,0.5,0.47,0.47,0.42,0.57,0.37,0.62,0.42,0.42,0.43,0.66,0.5,0.61,0.09,0.66,0.53,0.47,0.29
19261103,0.2,-0.24,-0.28,0.013,2.49,0.37,0.06,0.17,0,0.47,-0.05,0.36,0.19,0.2,-0.27,1.13,-0.01,-0.08,-0.01,0.44,0.15,0.09,0.44
19261104,0.59,-0.15,0.69,0.013,-2.43,0.6,0.69,1.17,0.77,0.38,0.85,1.03,0.62,1.03,0.41,0.27,0.46,0.91,0.78,0.76,1.8,0.63,0.61
19261105,0.07,-0.09,0.23,0.013,-1.25,-0.08,0.19,0.23,0.03,-0.1,0.2,0.34,0.33,0.1,-0.08,-0.29,0.04,0.29,0.09,0.42,0.11,0.33,0.35
19261106,0.16,-0.29,0.05,0.013,-0.66,-0.01,0.32,0.26,0.22,-0.01,0.28,0.33,0.29,0.31,0.1,-0.5,0.35,0.26,0.3,0.37,0.23,0.09,0.78
19261108,0.52,-0.07,0.08,0.013,1.27,0.55,0.61,0.6,0.7,0.41,0.48,0.91,0.65,0.85,0.48,0.24,0.53,0.58,0.36,1.03,0.55,0.74,0.42
19261109,0.13,0.29,-0.49,0.013,-0.93,0.33,0.06,-0.35,0.24,0.33,-0.1,-0.03,-0.16,0.2,0.3,0.52,0.2,0.02,-0.23,0.15,-0.56,-0.33,0.27
19261110,-0.6,0.15,0.09,0.013,1.27,-0.67,-0.63,-0.52,-0.59,-0.58,-0.74,-0.72,-0.57,-0.67,-0.48,-0.84,-0.39,-1.07,-0.35,-0.81,-0.46,-0.57,-0.58
19261111,0.67,0.03,0.09,0.013,2.5,0.68,0.66,0.71,0.68,0.59,0.63,0.96,0.53,1.02,0.21,0.68,0.52,0.76,0.48,0.98,0.91,0.67,0.17
19261112,0.24,-0.03,-0.37,0.013,9.66,0.31,0.35,0.1,0.37,0.11,0.41,0.62,-0.11,0.5,0.2,0.18,0.06,0.45,0.38,0.72,0.34,0.12,-0.71
19261113,-0.24,0.12,-0.16,0.013,-4.45,-0.31,-0.27,-0.21,-0.23,-0.27,-0.34,-0.3,-0.22,-0.32,-0.11,-0.46,-0.14,-0.57,-0.08,-0.34,-0.19,-0.24,-0.18
19261115,0.37,0.28,-0.25,0.013,16.6,0.22,0.47,0.07,0.25,0.41,0.34,0.36,0.24,0.27,0.23,0.16,0.59,0.56,0.08,0.53,-0.12,0.29,0.1
19261116,0.15,-0.31,-0.06,0.013,-1.26,0.66,-0.13,-0.07,0.88,0.09,-0.14,-0.29,-0.09,1.42,0.13,0.19,0.03,-0.24,-0.03,-0.37,-0.05,-0.34,0.53
19261117,-0.35,-0.35,0.46,0.013,-8.02,-0.36,-0.38,-0.18,-0.36,-0.31,-0.28,-0.64,-0.21,-0.3,-0.44,-0.37,-0.28,-0.47,-0.05,-0.81,-0.16,-0.23,-0.16
19261118,-0.48,0.17,0.2,0.013,-5.43,-0.48,-0.51,-0.22,-0.47,-0.38,-0.66,-0.46,-0.32,-0.5,-0.43,-0.51,-0.28,-1.09,-0.17,-0.59,-0.1,-0.47,0.05
19261119,-0.64,0.56,0.07,0.013,1.01,-0.78,-0.64,-0.46,-0.64,-0.61,-0.86,-0.72,-0.44,-0.64,-0.65,-1.06,-0.29,-1.07,-0.61,-0.8,-0.49,-0.78,0.42
19261120,0.4,0.01,0.12,0.013,4.6,0.32,0.46,0.53,0.52,0.27,0.44,0.37,0.73,0.61,0.4,-0.11,0.53,0.46,0.41,0.39,0.29,0.77,0.64
19261122,0.57,0.16,-0.2,0.013,-1.12,0.76,0.55,0.67,0.59,0.59,0.57,1.08,0.36,0.63,0.53,1.13,0.22,0.79,0.32,1.1,1.02,0.6,-0.23
19261123,0.33,0.02,0.2,0.013,-3.34,0.31,0.34,0.31,0.12,0.66,0.34,-0.01,0.31,0.4,-0.29,0.74,0.61,0.62,0.03,-0.12,0.31,0.32,0.3
19261124,0.08,-0.22,0.2,0.013,5.76,0.17,0.2,0.23,0.37,0,0.12,0.39,0.09,0.06,0.82,-0.25,0.18,0.09,0.17,0.39,0.38,0.16,-0.07
19261126,0.2,-0.02,0.03,0.013,0,0.35,0.14,0.38,0.47,0.16,-0.23,0.74,0.37,0.57,0.32,0.1,0.2,-0.48,0.06,0.87,0.4,0.4,0.29
19261127,-0.15,-0.04,-0.28,0.013,-3.27,-0.11,-0.12,-0.3,-0.15,-0.05,-0.08,-0.38,-0.09,-0.32,0.09,-0.02,-0.06,-0.04,-0.13,-0.32,-0.55,0.22,-0.86
19261129,-0.37,-0.13,0.06,0.013,-1.24,-0.48,-0.23,-0.35,-0.43,-0.41,-0.07,-0.38,-0.49,-0.53,-0.3,-0.58,-0.29,0.09,-0.25,-0.45,-0.2,-0.29,-0.99
19261130,0.26,0.03,-0.5,0.013,0.11,0.34,0.26,-0.12,0.42,0.26,0.41,-0.23,0.04,0.57,0.2,0.17,0.33,0.63,0.17,-0.2,-0.31,0.1,-0.1
19261201,0.36,0.05,-0.34,0.011,0,0.49,0.27,0.3,0.25,0.59,0.14,0.45,0.34,0.22,0.29,1.01,0.3,0.24,0.02,0.52,0.26,0.51,-0.07
19261202,0.51,-0.01,0.1,0.011,0,0.5,0.56,0.77,0.45,0.46,0.52,0.87,1.01,0.24,0.75,0.58,0.37,0.73,0.28,1,0.5,0.96,1.15
19261203,0.32,-0.05,0.06,0.011,9.13,0.6,0.03,0.46,0.25,0.54,-0.16,0.47,0.67,0.45,-0.04,1.35,-0.02,-0.42,0.13,0.55,0.22,0.73,0.5
